Week.Number,Region,Population.per.10000,icu.case.10000,deaths.10000,No.of.cases,No.of.cases.x,ICU.Cases,ICU.Cases.x,No.of.deaths,No.of.deaths.x,P1,P2,P3,P4,P5,P6,P7,P8,P9,Temperature,TempCat
1,Blekinge,15.9606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0
2,Blekinge,15.9606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
3,Blekinge,15.9606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,1
4,Blekinge,15.9606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0
5,Blekinge,15.9606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,1
6,Blekinge,15.9606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0
7,Blekinge,15.9606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0
8,Blekinge,15.9606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,1
9,Blekinge,15.9606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0
10,Blekinge,15.9606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0
11,Blekinge,15.9606,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0
12,Blekinge,15.9606,0,0,2,10,0,0,0,0,1,0,0,0,0,0,0,0,0,5.4,1
13,Blekinge,15.9606,0.062654286,0.062654286,9,2,1,0,1,0,1,1,0,0,0,0,0,0,0,2.7,0
14,Blekinge,15.9606,0.062654286,0,15,9,1,1,0,1,1,1,1,0,0,0,0,0,0,4.8,0
15,Blekinge,15.9606,0,0.062654286,6,15,0,1,1,0,1,1,1,1,0,0,0,0,0,7.8,1
16,Blekinge,15.9606,0,0,1,6,0,0,0,1,1,1,1,1,1,0,0,0,0,7.3,1
17,Blekinge,15.9606,0,0,21,1,0,0,0,0,1,1,1,1,1,0,0,0,0,9.3,1
18,Blekinge,15.9606,0,0,10,21,0,0,0,0,1,1,1,1,1,0,0,0,0,8.8,1
19,Blekinge,15.9606,0,0,11,10,0,0,0,0,1,1,1,1,1,0,0,0,0,10.6,2
20,Blekinge,15.9606,0.062654286,0.062654286,18,11,1,0,1,0,1,1,1,1,1,1,0,0,0,7.9,1
21,Blekinge,15.9606,0,0.062654286,44,18,0,1,1,1,1,1,1,1,1,1,0,0,0,10.4,2
22,Blekinge,15.9606,0,0.062654286,68,44,0,0,1,1,1,1,1,1,1,1,1,0,0,13.8,2
23,Blekinge,15.9606,0.062654286,0.062654286,82,68,1,0,1,1,1,1,1,1,1,1,1,1,0,13.6,2
24,Blekinge,15.9606,0.062654286,0.313271431,82,82,1,1,5,1,1,1,1,1,1,1,1,1,0,17.1,3
25,Blekinge,15.9606,0.125308572,0.125308572,38,82,2,1,2,5,1,1,1,1,1,1,1,1,0,18.1,3
26,Blekinge,15.9606,0.062654286,0.062654286,27,38,1,2,1,2,1,1,1,1,1,1,1,1,1,19.9,3
27,Blekinge,15.9606,0,0,16,27,0,1,0,1,1,1,1,1,1,1,1,1,1,16.9,3
28,Blekinge,15.9606,0,0,11,16,0,0,0,0,1,1,1,1,1,1,1,1,1,13.8,2
29,Blekinge,15.9606,0,0,8,11,0,0,0,0,1,1,1,1,1,1,1,1,1,16.6,3
30,Blekinge,15.9606,0,0,3,8,0,0,0,0,1,1,1,1,1,1,1,1,1,16,3
31,Blekinge,15.9606,0,0.062654286,11,3,0,0,1,0,1,1,1,1,1,1,1,1,1,16.9,3
32,Blekinge,15.9606,0,0,33,11,0,0,0,1,1,1,1,1,1,1,1,1,1,18.2,3
33,Blekinge,15.9606,0,0,46,33,0,0,0,0,1,1,1,1,1,1,1,1,1,18.9,3
34,Blekinge,15.9606,0.062654286,0.062654286,22,46,1,0,1,0,1,1,1,1,1,1,1,1,1,19.7,3
35,Blekinge,15.9606,0,0.062654286,15,22,0,1,1,1,1,1,1,1,1,1,1,1,1,15.2,3
36,Blekinge,15.9606,0,0,3,15,0,0,0,1,1,1,1,1,1,1,1,1,1,15,2
37,Blekinge,15.9606,0,0,4,3,0,0,0,0,1,1,1,1,1,1,1,1,1,14.4,2
38,Blekinge,15.9606,0,0,14,4,0,0,0,0,1,1,1,1,1,1,1,1,1,14.3,2
39,Blekinge,15.9606,0,0,77,14,0,0,0,0,1,1,1,1,1,1,1,1,1,14.1,2
40,Blekinge,15.9606,0,0,72,77,0,0,0,0,1,1,1,1,1,1,1,1,1,13.6,2
41,Blekinge,15.9606,0,0.062654286,61,72,0,0,1,0,1,1,1,1,1,1,1,1,1,11,2
42,Blekinge,15.9606,0,0,31,61,0,0,0,1,1,1,1,1,1,1,1,1,1,7.1,1
1,Dalarna,29.7966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0
2,Dalarna,29.7966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0
3,Dalarna,29.7966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0
4,Dalarna,29.7966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0
5,Dalarna,29.7966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0
6,Dalarna,29.7966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,0
7,Dalarna,29.7966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0
8,Dalarna,29.7966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0
9,Dalarna,29.7966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.4,0
10,Dalarna,29.7966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2,0
11,Dalarna,29.7966,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0
12,Dalarna,29.7966,0.067121752,0.033560876,17,5,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0
13,Dalarna,29.7966,0.335608761,0.16780438,70,17,10,2,5,1,1,1,0,0,0,0,0,0,0,3.4,0
14,Dalarna,29.7966,0.302047885,0.604095769,102,70,9,10,18,5,1,1,1,0,0,0,0,0,0,1.7,0
15,Dalarna,29.7966,0.335608761,0.872582778,159,102,10,9,26,18,1,1,1,1,0,0,0,0,0,5.4,1
16,Dalarna,29.7966,0.201365256,0.805461026,138,159,6,10,24,26,1,1,1,1,1,0,0,0,0,5.6,1
17,Dalarna,29.7966,0.234926133,0.77190015,198,138,7,6,23,24,1,1,1,1,1,0,0,0,0,8.9,1
18,Dalarna,29.7966,0.16780438,0.570534893,115,198,5,7,17,23,1,1,1,1,1,0,0,0,0,4.4,0
19,Dalarna,29.7966,0.134243504,0.469852265,164,115,4,5,14,17,1,1,1,1,1,0,0,0,0,7,1
